param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0524,14,2.0,24,0.382,pullback,short,fixed_sl_atr_tp,10.0,20.0,96,0.7,1.5,1.0,24,76.0,-6088.8000000000075,18749.000000000007,24837.799999999977,0.7548575155609605,7478.600000000005,-80.1157894736843,0.2631578947368421,9.894736842105264,21.0,-2179.8,4398.4,6578.200000000002,0.6686327566811587,5032.0,-103.80000000000001,0.3333333333333333,15.761904761904763
R0123,10,1.5,24,0.5,pullback,short,fixed_sl_atr_tp,10.0,16.0,96,0.7,1.25,1.0,24,68.0,-5170.900000000007,15900.10000000001,21070.99999999998,0.7545963646718249,6261.700000000005,-76.04264705882363,0.3382352941176471,9.397058823529411,18.0,-2543.3999999999996,3568.5,6111.9000000000015,0.5838609924900602,3128.2,-141.29999999999998,0.2777777777777778,11.333333333333334
R0527,14,2.0,24,0.382,pullback,short,fixed_sl_atr_tp,10.0,24.0,96,0.7,1.25,1.0,24,75.0,-6060.000000000005,18627.800000000007,24687.799999999977,0.7545346284399591,8249.800000000003,-80.80000000000005,0.25333333333333335,10.24,21.0,-1779.8000000000002,4798.4,6578.200000000002,0.7294396643458695,4832.0,-84.75238095238096,0.3333333333333333,15.80952380952381
R0422,14,1.5,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.5,1.0,24,59.0,-5174.200000000003,15859.90000000001,21034.099999999988,0.7540089663926681,7549.300000000002,-87.69830508474581,0.4576271186440678,12.898305084745763,16.0,-3935.7999999999993,3184.8,7120.600000000001,0.44726567985843885,4020.5999999999995,-245.98749999999995,0.25,13.75
R0007,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,86.0,-5914.300000000005,18108.80000000001,24023.099999999973,0.7538077933322523,9566.600000000004,-68.7709302325582,0.27906976744186046,9.476744186046512,28.0,1206.0999999999983,7861.999999999999,6655.900000000002,1.1812076503553233,3338.0000000000005,43.07499999999994,0.35714285714285715,12.357142857142858
R0464,14,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.5,1.0,24,73.0,-6289.900000000004,19183.80000000001,25473.69999999998,0.7530825910645107,9537.800000000003,-86.1630136986302,0.3287671232876712,10.780821917808218,21.0,-2129.7999999999993,5573.4,7703.200000000002,0.7235174992211028,4606.999999999999,-101.41904761904759,0.3333333333333333,13.619047619047619
R0310,14,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.5,1.0,24,73.0,-6289.900000000004,19131.100000000013,25420.99999999998,0.7525707092561279,9261.200000000004,-86.1630136986302,0.3835616438356164,12.301369863013699,23.0,-487.39999999999986,7165.799999999999,7653.200000000002,0.9363142215021165,3977.0999999999995,-21.19130434782608,0.391304347826087,16.82608695652174
R0437,14,2.0,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,77.0,-5630.100000000007,17116.40000000001,22746.499999999978,0.7524849976919538,8028.000000000007,-73.11818181818191,0.2857142857142857,9.402597402597403,22.0,-621.0999999999999,5835.9,6457.000000000002,0.9038098188013006,3960.7999999999997,-28.231818181818177,0.3181818181818182,12
R0236,10,2.0,24,0.382,pullback,short,fixed_sl_atr_tp,10.0,20.0,96,0.7,1.5,1.0,24,78.0,-6558.900000000006,19920.200000000008,26479.099999999973,0.7522989829714767,9494.900000000005,-84.08846153846162,0.2692307692307692,9.653846153846153,21.0,-1004.8000000000002,5069.599999999999,6074.4000000000015,0.8345844857105226,3857.0,-47.847619047619055,0.38095238095238093,16
R0459,14,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.25,1.0,24,75.0,-6347.500000000004,19272.400000000012,25619.89999999998,0.7522433733152756,9337.800000000005,-84.63333333333338,0.36,9.84,21.0,-2354.7999999999993,5348.4,7703.200000000002,0.6943088586561427,5307.0,-112.1333333333333,0.3333333333333333,13.142857142857142
R0529,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.25,1.0,24,74.0,-6543.700000000004,19802.30000000001,26345.999999999978,0.7516245350337822,8333.500000000004,-88.42837837837844,0.3918918918918919,10.891891891891891,21.0,-1129.7999999999997,6190.799999999999,7320.600000000001,0.8456683878370623,4220.599999999999,-53.79999999999999,0.42857142857142855,14.714285714285714
R0460,14,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.5,1.0,24,74.0,-6218.7000000000035,18797.400000000012,25016.09999999998,0.7514120906136459,9562.800000000003,-84.03648648648654,0.36486486486486486,10.04054054054054,21.0,-1954.799999999999,5748.4,7703.200000000002,0.7462353307716272,5106.999999999999,-93.08571428571425,0.3333333333333333,13.19047619047619
R0429,14,1.5,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.25,1.0,24,58.0,-5207.9000000000015,15737.60000000001,20945.499999999985,0.7513594805566838,7102.600000000002,-89.79137931034485,0.39655172413793105,14.017241379310345,16.0,-2310.7999999999993,4359.8,6670.600000000001,0.6535843852127244,2920.5999999999995,-144.42499999999995,0.25,15.25
R0171,10,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.25,1.0,24,77.0,-6705.100000000003,20243.600000000013,26948.699999999975,0.7511902243893038,8891.600000000004,-87.07922077922082,0.36363636363636365,10.012987012987013,21.0,-2154.7999999999993,5548.4,7703.200000000002,0.720272094713885,5107.0,-102.60952380952378,0.3333333333333333,14.428571428571429
R0467,14,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.25,1.0,24,73.0,-6489.900000000004,19587.60000000001,26077.499999999978,0.751130284728215,8537.800000000003,-88.90273972602745,0.3150684931506849,11.04109589041096,21.0,-1729.7999999999997,5973.4,7703.200000000002,0.7754439713365872,4407.0,-82.37142857142855,0.3333333333333333,13.714285714285714
R0251,10,2.0,24,0.382,pullback,short,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.25,1.0,24,74.0,-6956.200000000002,20987.60000000001,27943.799999999974,0.7510646368783068,9728.6,-94.00270270270272,0.3108108108108108,11.608108108108109,21.0,-3504.8,4273.4,7778.200000000002,0.5494073178884573,6457.0,-166.8952380952381,0.3333333333333333,16.80952380952381
R0169,10,2.0,12,0.382,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.25,1.0,24,75.0,-6872.500000000004,20636.00000000001,27508.499999999978,0.7501681298507744,9836.200000000004,-91.63333333333338,0.4,10.546666666666667,21.0,-3804.7999999999993,4948.4,8753.2,0.565324681259425,6407.0,-181.18095238095233,0.3333333333333333,14.952380952380953
R0538,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.5,1.0,24,68.0,-6845.9000000000015,20546.30000000001,27392.199999999983,0.750078489497011,9350.900000000001,-100.67500000000003,0.35294117647058826,13.088235294117647,21.0,-2267.3,5907.099999999999,8174.4000000000015,0.7226340771188098,6207.0,-107.96666666666667,0.38095238095238093,17.095238095238095
R0525,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.25,1.0,24,74.0,-6431.200000000008,19266.40000000001,25697.599999999977,0.7497353838490765,7174.800000000005,-86.90810810810822,0.2972972972972973,10.756756756756756,21.0,-1567.3000000000002,5760.9,7328.200000000002,0.786127562020687,5457.0,-74.63333333333334,0.3333333333333333,15.857142857142858
R0451,14,2.0,12,0.382,pullback,short,fixed_sl_atr_tp,10.0,20.0,96,0.7,1.25,1.0,24,75.0,-5872.500000000005,17516.40000000001,23388.89999999998,0.7489193591832033,8520.400000000005,-78.30000000000005,0.29333333333333333,9.813333333333333,21.0,-217.3000000000003,6335.9,6553.200000000002,0.9668406274797042,3807.0,-10.347619047619062,0.3333333333333333,12.714285714285714
R0454,14,2.0,12,0.382,pullback,short,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.5,1.0,24,70.0,-6478.500000000005,19137.60000000001,25616.09999999998,0.7470926487638643,8826.400000000005,-92.55000000000007,0.32857142857142857,11.6,23.0,-2674.9,6635.9,9310.800000000001,0.7127099712162219,6164.6,-116.3,0.30434782608695654,12.826086956521738
