param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,sl_atr,tp_atr,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0586,40,0.4,20,1.1,1.0,0.75,6,False,True,PRE_RTH,3,23,537.98,210.74,1.9681,0.6957,23.39,1093.66,-555.68,22,403.22,210.74,1.7256,0.6818,18.328,958.9,-555.68,1,134.76,0.0,999.0,1.0,134.76,134.76,0.0,False
M200R5_0604,40,0.4,20,1.1,1.0,0.75,12,False,False,PRE_RTH,3,23,537.98,210.74,1.9681,0.6957,23.39,1093.66,-555.68,22,403.22,210.74,1.7256,0.6818,18.328,958.9,-555.68,1,134.76,0.0,999.0,1.0,134.76,134.76,0.0,False
M200R5_0610,40,0.4,20,1.1,1.0,0.75,12,False,True,PRE_RTH,3,23,537.98,210.74,1.9681,0.6957,23.39,1093.66,-555.68,22,403.22,210.74,1.7256,0.6818,18.328,958.9,-555.68,1,134.76,0.0,999.0,1.0,134.76,134.76,0.0,False
M200R5_1394,40,0.7,20,1.1,1.25,1.0,6,False,False,ALL,3,33,623.58,191.98,1.9206,0.5758,18.896,1300.94,-677.36,24,346.24,136.2,1.7133,0.5,14.427,831.62,-485.38,9,277.34,191.98,2.4446,0.7778,30.816,469.32,-191.98,False
M200R5_1400,40,0.7,20,1.1,1.25,1.0,6,False,True,ALL,3,33,623.58,191.98,1.9206,0.5758,18.896,1300.94,-677.36,24,346.24,136.2,1.7133,0.5,14.427,831.62,-485.38,9,277.34,191.98,2.4446,0.7778,30.816,469.32,-191.98,False
M200R5_1059,40,0.7,12,1.1,1.5,1.25,6,False,False,PRE_RTH,1,16,518.66,139.24,2.375,0.6875,32.416,895.86,-377.2,14,265.14,139.24,1.7029,0.6429,18.939,642.34,-377.2,2,253.52,0.0,999.0,1.0,126.76,253.52,0.0,False
M200R5_1060,40,0.7,12,1.1,1.5,1.25,6,False,False,PRE_RTH,3,16,518.66,139.24,2.375,0.6875,32.416,895.86,-377.2,14,265.14,139.24,1.7029,0.6429,18.939,642.34,-377.2,2,253.52,0.0,999.0,1.0,126.76,253.52,0.0,False
M200R5_1065,40,0.7,12,1.1,1.5,1.25,6,False,True,PRE_RTH,1,16,518.66,139.24,2.375,0.6875,32.416,895.86,-377.2,14,265.14,139.24,1.7029,0.6429,18.939,642.34,-377.2,2,253.52,0.0,999.0,1.0,126.76,253.52,0.0,False
M200R5_1066,40,0.7,12,1.1,1.5,1.25,6,False,True,PRE_RTH,3,16,518.66,139.24,2.375,0.6875,32.416,895.86,-377.2,14,265.14,139.24,1.7029,0.6429,18.939,642.34,-377.2,2,253.52,0.0,999.0,1.0,126.76,253.52,0.0,False
M200R5_0675,40,0.4,20,1.1,1.5,1.25,6,False,False,PRE_RTH,1,17,553.92,139.24,2.1706,0.5882,32.584,1027.1,-473.18,16,328.66,139.24,1.6946,0.5625,20.541,801.84,-473.18,1,225.26,0.0,999.0,1.0,225.26,225.26,0.0,False
