param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0037,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,435.0,-20373.08789062473,205654.33164062555,226027.41953124927,0.9098645291227286,40636.05859374988,-46.83468480603386,0.3724137931034483,10.825287356321839,216.0,-65810.7804687503,68439.60488281239,134250.3853515628,0.5097907518372399,66546.97070312516,-304.6795392071773,0.26851851851851855,8.98611111111111
R0038,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,423.0,-10807.47812499987,210205.31210937555,221012.79023437455,0.951100214093772,38710.6781250001,-25.549593676122626,0.3947990543735225,11.505910165484634,209.0,-69414.20000000027,67145.80488281243,136560.00488281273,0.49169451143790427,69500.41953125026,-332.12535885167597,0.2822966507177033,9.401913875598087
R0039,10,1.5,12,0.5,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,441.0,-30715.76093749966,193007.64882812553,223723.40976562427,0.8627065403228165,52737.76093749977,-69.65025155895614,0.3356009070294785,10.820861678004535,218.0,-62108.40000000026,65168.585351562404,127276.98535156288,0.5120217545344475,62108.40000000026,-284.9009174311939,0.24311926605504589,8.793577981651376
R0040,10,1.5,12,0.5,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,435.0,-32722.8925781248,190196.71718750038,222919.60976562428,0.853207653590779,52628.7218749998,-75.2250404094823,0.32873563218390806,11.091954022988507,216.0,-66100.80000000028,61979.98535156241,128080.78535156288,0.4839132207179749,66100.80000000028,-306.0222222222235,0.23148148148148148,8.98611111111111
R0041,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,413.0,-17639.390234374503,202935.20976562562,220574.59999999928,0.9200298210475109,45420.21953124978,-42.71038797669371,0.35351089588377727,11.970944309927361,212.0,-64335.55117187534,69914.83417968736,134250.3853515628,0.5207793928978356,64421.77070312532,-303.46958099941196,0.25471698113207547,9.528301886792454
R0042,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,403.0,-5971.390234374584,211146.20976562562,217117.59999999954,0.9724969775164523,44097.45859374991,-14.817345494726014,0.3746898263027295,12.555831265508685,205.0,-66888.96093750023,69671.04394531244,136560.00488281273,0.5101863023884613,66975.18046875022,-326.28761432926945,0.2682926829268293,9.980487804878049
R0043,10,1.5,12,0.5,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,424.0,-29101.141406249728,190937.05859375038,220038.19999999928,0.8677450487858517,49385.370703124856,-68.63476746757011,0.31839622641509435,11.608490566037736,214.0,-65733.17070312536,62347.61464843739,128080.78535156288,0.486783513056251,65733.17070312536,-307.16434908002503,0.22429906542056074,9.336448598130842
R0044,10,1.5,12,0.5,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,422.0,-26573.531640624675,193704.65859375038,220278.19023437428,0.8793637644636999,46891.56093749983,-62.97045412470302,0.31516587677725116,11.729857819905213,212.0,-64835.541406250326,61637.64394531243,126473.18535156288,0.48735740919291043,64835.541406250326,-305.8280255011808,0.22641509433962265,9.5
R0045,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,402.0,-22507.52187499961,195509.4781250004,218016.99999999933,0.8967625374397455,46075.94140624975,-55.988860385571165,0.3407960199004975,12.713930348258707,206.0,-64212.77070312539,67626.21464843735,131838.98535156285,0.5129455029413702,65490.36093750028,-311.71247914138536,0.24757281553398058,10.087378640776699
R0046,10,1.5,12,0.5,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,392.0,-24879.473046874755,194015.7074218754,218895.18046874958,0.8863406997193981,49826.95117187489,-63.468043486925396,0.3520408163265306,13.306122448979592,199.0,-68076.14140625023,66646.2439453125,134722.38535156273,0.4946931704883106,68467.5218750002,-342.09116284547855,0.2562814070351759,10.442211055276381
