config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X01434,momentum_reversion,all,fixed,fixed,60.0,15.0,12,125,206.0,1.078,0.792,1.648,497.36,2847.24,-2641.24,3,2,False,"[0.42, 226.42, -20.84]",0.5957,0.6667,0.5,141.54
X01795,momentum_reversion,long_only,atr,atr,2.0,4.0,48,56,242.56,1.0773,0.3393,4.3314,645.86,3378.94,-3136.38,3,1,False,"[-248.56, -340.06, 831.18]",0.3429,0.3333,0.5,341.28
X01448,momentum_reversion,all,atr,atr,1.5,2.0,12,105,330.8,1.0768,0.4286,3.1505,564.14,4635.7,-4304.9,3,2,False,"[-256.4, 139.1, 448.1]",0.4894,0.4167,0.5,295.63
X01266,icefishball,short_only,fixed,fixed,60.0,120.0,24,256,1159.06,1.0763,0.4141,4.5276,2198.72,16344.06,-15185.0,3,2,False,"[-1616.64, 2359.1, 416.6]",0.5179,0.4615,0.75,515.31
X00023,emapmo,all,atr,atr,1.5,2.0,6,196,641.96,1.076,0.4745,3.2753,1503.82,9084.18,-8442.22,3,2,False,"[780.16, -375.1, 236.9]",0.475,0.5833,0.75,332.61
X01603,momentum_reversion,long_only,fixed,fixed,30.0,60.0,6,66,141.66,1.075,0.4394,2.1464,451.9,2030.54,-1888.88,3,1,False,"[-240.78, -147.28, 529.72]",0.4857,0.3333,0.5,145.27
X01214,icefishball,short_only,atr,atr,1.0,1.0,12,350,745.0,1.0747,0.5114,2.1286,763.54,10719.54,-9974.54,3,2,False,"[-282.58, 410.42, 617.16]",0.5357,0.6154,0.75,266.42
X00133,emapmo,all,atr,atr,1.0,2.0,24,182,698.82,1.0742,0.3626,3.8397,1214.84,10122.66,-9423.84,3,2,False,"[569.36, -266.14, 395.6]",0.4103,0.6667,0.5,234.82
X00054,emapmo,all,range15_pct,range15_pct,1.0,2.0,6,186,578.86,1.0727,0.4516,3.1122,1349.34,8540.34,-7961.48,3,2,False,"[531.62, -233.38, 280.62]",0.4615,0.5,0.75,257.71
X00011,emapmo,all,fixed,fixed,60.0,60.0,6,220,644.2,1.0727,0.5,2.9282,1754.06,9506.6,-8862.4,3,2,False,"[925.74, -1233.02, 951.48]",0.5,0.6667,0.75,489.84
X00048,emapmo,all,atr_blend,atr_blend,2.5,4.0,6,173,534.48,1.0722,0.4798,3.0895,1454.48,7937.08,-7402.6,3,2,False,"[681.08, -714.42, 567.82]",0.4872,0.5833,0.5,424.2
X00055,emapmo,all,range15_pct,range15_pct,1.25,1.0,6,198,609.98,1.0712,0.5202,3.0807,1419.12,9173.78,-8563.8,3,2,False,"[432.16, -470.34, 648.16]",0.525,0.5833,0.5,366.6
X01930,momentum_reversion,short_only,range15_pct,range15_pct,0.75,1.0,12,42,141.92,1.071,0.4762,3.379,661.16,2139.7,-1997.78,3,1,False,"[-140.36, 302.14, -19.86]",0.5185,0.6364,0.5,173.51
X00253,emapmo,long_only,atr,atr,2.0,1.0,6,57,260.82,1.0703,0.614,4.5758,1412.64,3970.1,-3709.28,3,2,False,"[-375.06, 615.44, 20.44]",0.8,0.7143,0.6667,458.8
X00099,emapmo,all,atr_blend,atr_blend,2.0,1.5,12,161,618.86,1.0699,0.5466,3.8439,1557.56,9475.88,-8857.02,3,2,False,"[520.04, -111.96, 210.78]",0.5,0.5833,0.75,327.08
X00077,emapmo,all,atr,atr,1.0,4.0,12,156,540.56,1.0689,0.3205,3.4651,1372.16,8389.0,-7848.44,3,2,False,"[743.52, -379.48, 176.52]",0.4211,0.6667,0.75,213.76
X01551,momentum_reversion,all,fixed,fixed,60.0,120.0,48,93,458.68,1.0688,0.4086,4.932,1130.82,7126.88,-6668.2,3,1,False,"[-77.44, -508.44, 1044.56]",0.4894,0.4167,0.5,703.0
X00091,emapmo,all,atr_blend,atr_blend,1.0,1.5,12,201,603.26,1.0671,0.4378,3.0013,1118.88,9588.88,-8985.62,3,2,False,"[727.42, 380.92, -505.08]",0.425,0.5833,0.75,248.47
X01810,momentum_reversion,long_only,atr_blend,atr_blend,2.0,2.0,48,55,183.8,1.0662,0.4727,3.3418,706.68,2958.26,-2774.46,3,1,False,"[-309.56, -388.32, 881.68]",0.4286,0.5,0.25,393.54
X01914,momentum_reversion,short_only,atr_blend,atr_blend,1.0,1.0,12,48,120.98,1.0662,0.5,2.5204,615.9,1948.74,-1827.76,3,2,False,"[54.16, 233.66, -166.84]",0.5556,0.7273,0.5,154.4
X01588,momentum_reversion,all,range15_pct,range15_pct,0.75,1.0,48,99,348.74,1.0661,0.4343,3.5226,1142.06,5623.18,-5274.44,3,1,False,"[-581.92, 1068.58, -137.92]",0.4255,0.4167,0.5,469.98
X01227,icefishball,short_only,atr,atr,2.5,1.5,12,269,718.94,1.0654,0.5688,2.6726,1306.76,11720.28,-11001.34,3,1,False,"[-115.1, 861.4, -27.36]",0.4821,0.6154,0.5,432.41
X00032,emapmo,all,atr,atr,2.5,4.0,6,175,492.0,1.0649,0.4743,2.8114,1453.98,8071.08,-7579.08,3,2,False,"[671.34, -704.42, 525.08]",0.4615,0.5833,0.5,431.61
X00132,emapmo,all,atr,atr,1.0,1.5,24,223,640.48,1.0645,0.4305,2.8721,1054.84,10568.96,-9928.48,3,2,False,"[866.5, -262.26, 36.24]",0.55,0.5,0.75,204.88
X00245,emapmo,long_only,atr,atr,1.0,1.0,6,74,266.74,1.0635,0.5,3.6046,707.86,4465.62,-4198.88,3,1,False,"[460.0, -169.5, -23.76]",0.5333,0.5714,0.6667,308.4
X01509,momentum_reversion,all,atr,atr,2.0,2.0,24,97,320.22,1.0634,0.4845,3.3012,894.2,5367.22,-5047.0,3,2,False,"[-673.92, 665.82, 328.32]",0.4894,0.3333,0.5,385.04
X01391,momentum_reversion,all,atr,atr,1.5,2.0,6,110,232.1,1.0627,0.4818,2.11,565.96,3933.78,-3701.68,3,1,False,"[-265.88, -31.38, 529.36]",0.5106,0.3333,0.5,217.63
X01245,icefishball,short_only,atr_blend,atr_blend,2.5,4.0,12,263,794.88,1.0624,0.4753,3.0224,1886.88,13531.0,-12736.12,3,2,False,"[-959.62, 912.38, 842.12]",0.4821,0.5385,0.5,570.33
X00190,emapmo,all,atr,atr,1.0,2.0,48,182,584.82,1.0612,0.3516,3.2133,1176.84,10143.14,-9558.32,3,2,False,"[647.86, -266.14, 203.1]",0.359,0.5833,0.75,251.2
X00375,emapmo,long_only,atr_blend,atr_blend,1.0,1.0,24,67,248.42,1.0606,0.4925,3.7078,772.86,4350.58,-4102.16,3,2,False,"[-135.52, 223.22, 160.72]",0.5714,0.7143,0.6667,304.31
X00432,emapmo,long_only,atr_blend,atr_blend,1.0,1.0,48,67,248.42,1.0606,0.4925,3.7078,772.86,4350.58,-4102.16,3,2,False,"[-135.52, 223.22, 160.72]",0.5714,0.7143,0.6667,304.31
X01989,momentum_reversion,short_only,range15_pct,range15_pct,0.75,2.0,24,40,155.9,1.0605,0.375,3.8975,652.94,2734.4,-2578.5,3,1,False,"[-645.36, 843.38, -42.12]",0.4074,0.3636,0.5,343.13
X01842,momentum_reversion,short_only,atr,atr,1.0,1.5,6,50,107.5,1.0602,0.46,2.15,703.0,1891.98,-1784.48,3,2,False,"[146.92, 370.92, -410.34]",0.5185,0.6364,0.5,136.1
X01157,icefishball,short_only,atr,atr,1.0,1.0,6,353,559.78,1.06,0.4958,1.5858,721.44,9885.5,-9325.72,3,2,False,"[-393.82, 341.68, 611.92]",0.5357,0.5385,0.75,208.87
X00112,emapmo,all,range15_pct,range15_pct,1.25,1.0,12,154,486.54,1.0598,0.513,3.1594,1673.46,8623.54,-8137.0,3,2,False,"[833.52, -411.74, 64.76]",0.4615,0.5833,0.5,387.15
X00047,emapmo,all,atr_blend,atr_blend,2.5,2.0,6,185,473.6,1.0598,0.4919,2.56,1687.94,8398.16,-7924.56,3,2,False,"[465.62, -272.38, 280.36]",0.475,0.5833,0.5,486.05
X00522,emapmo,short_only,fixed,fixed,60.0,15.0,12,242,303.92,1.0595,0.781,1.2559,1277.4,5414.64,-5110.72,3,2,False,"[788.56, -804.94, 320.3]",0.5806,0.6667,0.75,365.97
X00083,emapmo,all,atr,atr,2.0,1.5,12,170,544.2,1.0593,0.5529,3.2012,1813.82,9716.94,-9172.74,3,2,False,"[719.82, -422.18, 246.56]",0.5,0.5833,0.75,338.08
X00081,emapmo,all,atr,atr,1.5,4.0,12,132,460.82,1.0589,0.4091,3.4911,1940.94,8289.04,-7828.22,3,2,False,"[1029.44, -1056.06, 487.44]",0.5,0.6667,0.75,268.13
