signal_family,group,signals,h1_direction_acc,h1_avg_ret_points,h1_peak_capture_rate,h1_wrong_short_right_long_rate,h3_direction_acc,h3_avg_ret_points,h3_peak_capture_rate,h3_wrong_short_right_long_rate,h6_direction_acc,h6_avg_ret_points,h6_peak_capture_rate,h6_wrong_short_right_long_rate,h12_direction_acc,h12_avg_ret_points,h12_peak_capture_rate,h12_wrong_short_right_long_rate,h24_direction_acc,h24_avg_ret_points,h24_peak_capture_rate,h24_wrong_short_right_long_rate,h48_direction_acc,h48_avg_ret_points,h48_peak_capture_rate,h48_wrong_short_right_long_rate,side,session,cluster_kind,week,month
icefishball,signal_family+week,66,0.3788,-3.8333,0.1212,0.0,0.3788,-5.7652,0.1212,0.1667,0.3939,-5.1402,0.0909,0.197,0.4242,-3.3295,0.0909,0.1818,0.3485,-16.9962,0.0758,0.0758,0.5455,6.6098,0.0606,0.2273,,,,2026-W25,
icefishball,signal_family+week,97,0.4845,-1.0541,0.1959,0.0,0.4227,-3.75,0.2474,0.1031,0.4742,-4.1469,0.2165,0.1546,0.4639,4.6418,0.2062,0.1649,0.6392,18.4407,0.1546,0.2577,0.567,8.3711,0.1237,0.2062,,,,2026-W26,
icefishball,signal_family+week,52,0.4038,-4.8702,0.1731,0.0,0.3462,-11.25,0.1731,0.0769,0.4231,-2.4135,0.1731,0.1731,0.3654,-4.149,0.1154,0.1154,0.5,22.9087,0.0769,0.2115,0.4423,20.8221,0.0577,0.2308,,,,2026-W27,
icefishball,signal_family+week,9,0.5556,11.5278,0.1111,0.0,0.5556,10.9444,0.2222,0.2222,0.7778,23.3056,0.2222,0.3333,0.4444,21.5,0.2222,0.0,0.3333,31.4722,0.1111,0.0,0.5556,33.0556,0.1111,0.2222,,,,2026-W28,
momentum_reversion,signal_family+week,16,0.6875,-0.7656,0.25,0.0,0.6875,2.4688,0.375,0.0625,0.4375,-3.2969,0.375,0.0625,0.0,-25.2812,0.0,0.0,0.25,-18.1719,0.0,0.125,0.625,27.0312,0.0,0.625,,,,2026-W17,
momentum_reversion,signal_family+week,18,0.6667,-3.0417,0.1667,0.0,0.5,-16.5556,0.3333,0.0,0.4444,-15.7639,0.2778,0.0556,0.2778,-29.2083,0.1667,0.0556,0.3333,-50.6944,0.1667,0.0556,0.3333,-68.2917,0.1667,0.1111,,,,2026-W18,
momentum_reversion,signal_family+week,20,0.5,-1.2375,0.2,0.0,0.55,-1.0,0.2,0.2,0.55,-0.0125,0.2,0.15,0.65,-4.25,0.2,0.15,0.45,5.1375,0.2,0.0,0.9,60.9125,0.2,0.25,,,,2026-W19,
momentum_reversion,signal_family+week,24,0.5833,7.3333,0.4167,0.0,0.6667,13.3021,0.375,0.1667,0.5417,10.2083,0.3333,0.125,0.5833,22.2083,0.2083,0.1667,0.6667,51.8333,0.2083,0.2917,0.6667,51.5729,0.2083,0.1667,,,,2026-W20,
momentum_reversion,signal_family+week,12,0.5833,11.5,0.3333,0.0,0.8333,31.5,0.4167,0.25,0.75,11.0417,0.3333,0.25,0.5,-9.1875,0.3333,0.0,0.5833,9.5,0.1667,0.0833,0.5,-4.625,0.1667,0.0833,,,,2026-W21,
momentum_reversion,signal_family+week,15,0.4667,-1.15,0.0667,0.0,0.3333,-1.45,0.2667,0.0667,0.5333,-0.6833,0.2,0.1333,0.3333,-5.7167,0.1333,0.2,0.1333,-40.8167,0.0667,0.0,0.0667,-51.0333,0.0,0.0667,,,,2026-W22,
momentum_reversion,signal_family+week,22,0.3182,-5.0455,0.0909,0.0,0.3636,-13.0455,0.1364,0.0909,0.4545,-12.375,0.1818,0.1818,0.5,-0.1818,0.2273,0.2273,0.6364,-30.5341,0.1818,0.2727,0.5,-40.8636,0.1818,0.1364,,,,2026-W23,
momentum_reversion,signal_family+week,16,0.6875,14.5469,0.4375,0.0,0.625,17.3438,0.4375,0.0,0.75,30.2812,0.3125,0.125,0.8125,70.0,0.3125,0.25,0.6875,104.0625,0.3125,0.0,0.5625,84.7031,0.25,0.0,,,,2026-W24,
momentum_reversion,signal_family+week,17,0.3529,-6.7206,0.2353,0.0,0.2353,-11.4559,0.2941,0.0588,0.2353,-23.4853,0.1765,0.0,0.3529,-45.8382,0.1765,0.1765,0.0588,-112.9853,0.0,0.0,0.0,-118.0147,0.0,0.0,,,,2026-W25,
momentum_reversion,signal_family+week,19,0.4211,-0.6316,0.1579,0.0,0.5263,7.3421,0.1579,0.1579,0.6316,18.6316,0.2105,0.2105,0.6316,-1.8026,0.2105,0.2105,0.4211,-19.6974,0.0526,0.0,0.3684,13.0921,0.0526,0.0526,,,,2026-W26,
momentum_reversion,signal_family+week,14,0.5714,-0.6071,0.3571,0.0,0.5714,-1.0179,0.3571,0.1429,0.7857,12.6786,0.4286,0.2857,0.2857,-9.6607,0.0714,0.0,0.4286,16.9821,0.0,0.0714,0.3571,-65.6429,0.0,0.2143,,,,2026-W27,
momentum_reversion,signal_family+week,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,,,2026-W28,
emapmo,signal_family+month,100,0.48,0.9075,0.25,0.0,0.54,1.7475,0.33,0.13,0.56,7.285,0.32,0.19,0.55,13.87,0.21,0.16,0.52,31.0,0.15,0.14,0.54,57.09,0.1,0.23,,,,,2026-04
emapmo,signal_family+month,277,0.4946,2.1895,0.2274,0.0,0.4874,2.3403,0.2744,0.1408,0.4765,1.7924,0.2527,0.1444,0.4188,0.2103,0.1841,0.1264,0.3827,-7.2744,0.1444,0.0866,0.3502,-21.3493,0.0975,0.1227,,,,,2026-05
emapmo,signal_family+month,413,0.4964,1.4153,0.1743,0.0,0.5061,4.408,0.2349,0.1453,0.4891,6.6598,0.2228,0.155,0.4818,5.9867,0.1985,0.1235,0.477,14.569,0.1598,0.1211,0.569,31.3801,0.1501,0.1622,,,,,2026-06
emapmo,signal_family+month,38,0.5526,-2.0921,0.1316,0.0,0.5,-1.4803,0.2105,0.1842,0.5526,-4.6908,0.2632,0.1579,0.5526,17.7697,0.1842,0.2368,0.6842,33.8026,0.1842,0.2368,0.6842,68.2632,0.0526,0.2895,,,,,2026-07
icefishball,signal_family+month,115,0.4783,-0.7043,0.1391,0.0,0.4435,-3.863,0.2,0.1043,0.4783,-4.1239,0.2,0.1652,0.4435,-8.1022,0.1739,0.1478,0.4,-8.0196,0.1043,0.0957,0.487,12.9326,0.0957,0.1739,,,,,2026-04
icefishball,signal_family+month,280,0.5071,1.5286,0.2071,0.0,0.5214,2.508,0.2321,0.1214,0.575,3.0848,0.2179,0.1786,0.5107,1.5089,0.175,0.175,0.5,6.2277,0.1321,0.1429,0.5,8.0455,0.0964,0.1429,,,,,2026-05
icefishball,signal_family+month,341,0.4692,-1.1254,0.1877,0.0,0.4076,-7.3072,0.2023,0.1144,0.4516,-8.978,0.1906,0.1584,0.4135,-10.5462,0.1584,0.1584,0.4457,-24.5315,0.1026,0.1378,0.4516,-16.5579,0.0674,0.1642,,,,,2026-06
icefishball,signal_family+month,40,0.45,1.8813,0.15,0.0,0.4,-1.0813,0.175,0.1,0.45,7.8375,0.175,0.15,0.4,7.4813,0.15,0.075,0.525,31.475,0.1,0.225,0.5,44.8062,0.075,0.225,,,,,2026-07
momentum_reversion,signal_family+month,34,0.6765,-1.9706,0.2059,0.0,0.5882,-7.6029,0.3529,0.0294,0.4412,-9.8971,0.3235,0.0588,0.1471,-27.3603,0.0882,0.0294,0.2941,-35.3897,0.0882,0.0882,0.4706,-23.4338,0.0882,0.3529,,,,,2026-04
momentum_reversion,signal_family+month,71,0.5352,3.831,0.2676,0.0,0.5915,9.2324,0.3099,0.169,0.5775,5.169,0.2676,0.1549,0.5352,3.5493,0.2113,0.1408,0.4789,11.9507,0.169,0.1127,0.5775,23.0282,0.1549,0.1549,,,,,2026-05
momentum_reversion,signal_family+month,80,0.4375,-1.0781,0.2125,0.0,0.45,-1.6062,0.25,0.0875,0.525,1.7719,0.2375,0.1375,0.5375,1.975,0.225,0.2,0.4375,-15.5969,0.125,0.0875,0.375,-12.2937,0.1125,0.0875,,,,,2026-06
momentum_reversion,signal_family+month,9,0.6667,12.5833,0.5556,0.0,0.5556,6.6944,0.4444,0.1111,0.7778,16.3056,0.3333,0.3333,0.3333,-6.2222,0.0,0.0,0.5556,20.3611,0.0,0.0,0.2222,-141.0278,0.0,0.0,,,,,2026-07
