param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0371,40,0.4,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,RTH,1,26,-614.8,1052.0,0.6395,0.5,-23.646,1090.6,-1705.4,18,-452.4,1052.0,0.6262,0.5,-25.133,757.8,-1210.2,8,-162.4,247.0,0.672,0.5,-20.3,332.8,-495.2,False
M200R5_4568,40,0.7,12,1.1,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,81,-661.8,716.6,0.7172,0.5309,-8.17,1678.6,-2340.4,51,-277.8,431.0,0.7885,0.5686,-5.447,1035.8,-1313.6,30,-384.0,566.4,0.626,0.4667,-12.8,642.8,-1026.8,False
M200R5_6056,40,0.7,20,1.1,max_fixed_atr,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,56,-572.8,583.8,0.6694,0.5,-10.229,1159.6,-1732.4,38,-336.4,454.4,0.6943,0.5263,-8.853,764.0,-1100.4,18,-236.4,290.0,0.6259,0.4444,-13.133,395.6,-632.0,False
M200R5_5336,40,0.7,20,0.8,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,85,-580.99,674.99,0.7571,0.5412,-6.835,1811.21,-2392.2,57,-234.6,417.0,0.8401,0.5439,-4.116,1232.2,-1466.8,28,-346.39,491.2,0.6257,0.5357,-12.371,579.01,-925.4,False
M200R5_3580,40,0.7,12,0.8,fixed_atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,False,PRE_RTH,3,29,-200.2,565.4,0.8314,0.5172,-6.903,987.0,-1187.2,19,-324.2,565.4,0.6256,0.4737,-17.063,541.8,-866.0,10,124.0,157.6,1.3861,0.6,12.4,445.2,-321.2,False
M200R5_5908,40,0.7,20,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,False,PRE_RTH,3,9,-130.2,204.4,0.672,0.4444,-14.467,266.8,-397.0,7,-122.6,196.8,0.6253,0.4286,-17.514,204.6,-327.2,2,-7.6,69.8,0.8911,0.5,-3.8,62.2,-69.8,False
M200R5_5914,40,0.7,20,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,PRE_RTH,3,9,-130.2,204.4,0.672,0.4444,-14.467,266.8,-397.0,7,-122.6,196.8,0.6253,0.4286,-17.514,204.6,-327.2,2,-7.6,69.8,0.8911,0.5,-3.8,62.2,-69.8,False
M200R5_5932,40,0.7,20,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,False,PRE_RTH,3,9,-130.2,204.4,0.672,0.4444,-14.467,266.8,-397.0,7,-122.6,196.8,0.6253,0.4286,-17.514,204.6,-327.2,2,-7.6,69.8,0.8911,0.5,-3.8,62.2,-69.8,False
M200R5_5938,40,0.7,20,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,PRE_RTH,3,9,-130.2,204.4,0.672,0.4444,-14.467,266.8,-397.0,7,-122.6,196.8,0.6253,0.4286,-17.514,204.6,-327.2,2,-7.6,69.8,0.8911,0.5,-3.8,62.2,-69.8,False
M200R5_2121,40,0.4,20,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,PRE_RTH,1,26,-200.8,399.0,0.7763,0.5385,-7.723,696.8,-897.6,17,-262.6,399.0,0.625,0.4706,-15.447,437.6,-700.2,9,61.8,99.8,1.3131,0.6667,6.867,259.2,-197.4,False
M200R5_2115,40,0.4,20,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,False,PRE_RTH,1,26,-320.8,399.0,0.6697,0.4615,-12.338,650.4,-971.2,17,-262.6,399.0,0.625,0.4706,-15.447,437.6,-700.2,9,-58.2,187.0,0.7852,0.4444,-6.467,212.8,-271.0,False
M200R5_2427,40,0.4,20,1.1,atr,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,False,PRE_RTH,1,14,-269.2,438.4,0.6678,0.4286,-19.228,541.2,-810.4,10,-236.0,438.4,0.6247,0.4,-23.6,392.8,-628.8,4,-33.2,181.6,0.8172,0.5,-8.3,148.4,-181.6,False
M200R5_2433,40,0.4,20,1.1,atr,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,True,PRE_RTH,1,14,-269.2,438.4,0.6678,0.4286,-19.228,541.2,-810.4,10,-236.0,438.4,0.6247,0.4,-23.6,392.8,-628.8,4,-33.2,181.6,0.8172,0.5,-8.3,148.4,-181.6,False
M200R5_3677,40,0.7,12,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,RTH,1,18,-116.4,275.2,0.8294,0.5,-6.467,565.8,-682.2,11,-179.8,254.0,0.6245,0.4545,-16.345,299.0,-478.8,7,63.4,145.6,1.3117,0.5714,9.057,266.8,-203.4,False
M200R5_3683,40,0.7,12,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,RTH,1,18,-116.4,275.2,0.8294,0.5,-6.467,565.8,-682.2,11,-179.8,254.0,0.6245,0.4545,-16.345,299.0,-478.8,7,63.4,145.6,1.3117,0.5714,9.057,266.8,-203.4,False
M200R5_3944,40,0.7,12,1.1,atr,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,84,-547.2,649.4,0.7373,0.5833,-6.514,1535.8,-2083.0,53,-201.4,371.8,0.8267,0.6226,-3.8,960.6,-1162.0,31,-345.8,503.6,0.6245,0.5161,-11.155,575.2,-921.0,False
M200R5_3056,40,0.4,20,1.1,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,83,-1047.4,1156.6,0.6574,0.4578,-12.619,2009.6,-3057.0,57,-684.6,1156.6,0.6727,0.4561,-12.011,1407.2,-2091.8,26,-362.8,503.2,0.6241,0.4615,-13.954,602.4,-965.2,False
M200R5_2018,40,0.4,20,0.8,fixed_atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,ALL,3,126,-1198.8,1198.8,0.6575,0.4683,-9.514,2301.8,-3500.6,87,-768.6,958.59,0.6739,0.4598,-8.834,1588.0,-2356.6,39,-430.2,535.6,0.624,0.4872,-11.031,713.8,-1144.0,False
M200R5_0356,40,0.4,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,True,ALL,3,82,-959.59,1035.99,0.6572,0.4512,-11.702,1839.4,-2798.99,50,-640.0,640.0,0.6237,0.48,-12.8,1060.8,-1700.79,32,-319.59,395.99,0.709,0.4062,-9.987,778.6,-1098.19,False
M200R5_4139,40,0.7,12,1.1,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,RTH,1,9,-52.2,247.6,0.8933,0.5556,-5.8,437.0,-489.2,4,-93.2,247.6,0.6236,0.5,-23.3,154.4,-247.6,5,41.0,147.8,1.1697,0.6,8.199,282.6,-241.6,False
M200R5_1138,40,0.4,12,1.1,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,PRE_RTH,3,27,-186.6,761.8,0.8693,0.4815,-6.911,1240.6,-1427.2,15,-363.0,761.8,0.6235,0.4,-24.2,601.2,-964.2,12,176.4,213.2,1.381,0.5833,14.7,639.4,-463.0,False
